X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
48,11,,,20,-17,4.558057935048059
49,11,,,21,-17,4.691715401976494
50,11,,,22,-17,4.827919020266022
51,11,,,23,-17,4.966459312081746
52,11,,,24,-17,5.107146121866364
53,11,,,25,-17,5.249806882242421
54,11,,,26,-17,5.394284982349303
55,11,,,27,-17,5.540438251616261
0,12,,,-28,-16,5.599985463492532
1,12,,,-27,-16,5.449897637840563
2,12,,,-26,-16,5.301248788141027
3,12,,,-25,-16,5.154163418422758
4,12,,,-24,-16,5.0087792677519865
5,12,,,-23,-16,4.865248846824896
6,12,,,-22,-16,4.723741134864814
7,12,,,-21,-16,4.584443440169259
8,12,,,-20,-16,4.4475634208206705
9,12,,,-19,-16,4.313331251775972
